r,chord,twist
0.0,0.153,40.0
0.005151515151515152,0.1509395823099453,39.63454151761468
0.010303030303030303,0.14888028804741754,39.26549651189993
0.015454545454545455,0.1468232219515465,38.892951554108585
0.020606060606060607,0.1447694683741191,38.51699321549337
0.025757575757575757,0.14272009127957963,38.13770806730708
0.03090909090909091,0.14067613424502984,37.75518268080253
0.036060606060606064,0.13863862046022865,37.36950362723243
0.041212121212121214,0.13660855272759256,36.980757477849615
0.046363636363636364,0.1345869134621952,36.58903080390683
0.051515151515151514,0.13257466469176776,36.19441017665689
0.05666666666666667,0.13057274805669866,35.79698216735253
0.06181818181818182,0.12858208481003372,35.39683334724658
0.06696969696969697,0.1266035758174761,34.99405028759177
0.07212121212121213,0.12463810155738624,34.58871955964089
0.07727272727272727,0.12268652212078211,34.18092773464675
0.08242424242424243,0.12074967721133881,33.77076138386208
0.08757575757575758,0.11882838614538906,33.3583070785397
0.09272727272727273,0.11692344785192266,32.94365138993237
0.09787878787878788,0.115035640872587,32.52688088929289
0.10303030303030303,0.11316572336168669,32.10808214787401
0.10818181818181818,0.11131443308618363,31.68734173692851
0.11333333333333334,0.10948248742569731,31.264746227709193
0.11848484848484848,0.10767058337250436,30.840382191468827
0.12363636363636364,0.10587939753153877,30.414336199460166
0.12878787878787878,0.10410958612039205,29.986694822936016
0.13393939393939394,0.10236178496931297,29.55754463314916
0.1390909090909091,0.10063660952120758,29.126972201352366
0.14424242424242426,0.09893465483163938,28.69506409879841
0.1493939393939394,0.09725649556882916,28.261906896740065
0.15454545454545454,0.09560268601365524,27.82758716643015
0.1596969696969697,0.09397376005965297,27.392191479121387
0.16484848484848486,0.09237023121301531,26.95580640606658
0.17,0.09079259259259259,26.518518518518512
0.17515151515151517,0.08924131692989234,26.080414387729967
0.1803030303030303,0.08771685656907942,25.641580584953708
0.18545454545454546,0.0862196434669763,25.202103681442523
0.1906060606060606,0.08475008919306257,24.76207024844919
0.19575757575757577,0.0833085849294752,24.321566857226482
0.20090909090909093,0.08189550147100859,23.88068007902718
0.20606060606060606,0.08051118922511454,23.439496485104083
0.2112121212121212,0.07915597821190201,22.99810264670993
0.21636363636363637,0.07783017806413747,22.556585135097528
0.22151515151515153,0.07653407802724477,22.115030521519653
0.22666666666666668,0.07526794695930501,21.673525377229083
0.23181818181818184,0.07403203333105662,21.232156273478587
0.23696969696969697,0.07282656522589553,20.791009781520955
0.24212121212121213,0.07165175033987495,20.350172472608968
0.24727272727272728,0.07050777598170536,19.909730917995383
0.25242424242424244,0.06939480907275473,19.469771688932994
0.25757575757575757,0.06831299614704833,19.030381356674592
0.26272727272727275,0.06726246335126876,18.591646492472936
0.2678787878787879,0.06624331644475599,18.153653667580816
0.27303030303030307,0.06525564079950737,17.716489453251008
0.2781818181818182,0.06429950140017758,17.280240420736284
0.2833333333333333,0.06337494284407866,16.844993141289436
0.2884848484848485,0.06248198934117996,16.410834186163232
0.29363636363636364,0.06162064471410827,15.977850126610461
0.2987878787878788,0.06079089239814768,15.54612753388388
0.30393939393939395,0.05999269544123965,15.115752979236294
0.3090909090909091,0.059225996503982976,14.68681303392047
0.31424242424242427,0.05849071785963382,14.259394269189185
0.3193939393939394,0.057786761394105726,13.833583256295224
0.3245454545454546,0.057114008605969525,13.409466566491357
0.3296969696969697,0.05647232060645348,12.98713077103037
0.33484848484848484,0.055861538119443166,12.566662441165043
0.34,0.05528148148148148,12.148148148148145
0.34515151515151515,0.054731950641768744,11.731674463232466
0.35030303030303034,0.05421272516216261,11.317327957670775
0.35545454545454547,0.05372356421717804,10.905195202715863
0.3606060606060606,0.05326420659398741,10.495362769620499
0.3657575757575758,0.05283437069242043,10.08791722963746
0.3709090909090909,0.05243375452496414,9.682945154019531
0.3760606060606061,0.05206203571676297,9.28053311401949
0.3812121212121212,0.051718871505618685,8.880767680890116
0.38636363636363635,0.0514038987419904,8.483735425884186
0.39151515151515154,0.05111673388899461,8.089522920254476
0.39666666666666667,0.05085697302240512,7.698216735253772
0.40181818181818185,0.050624191830653135,7.309903442134843
0.406969696969697,0.050417945614827195,6.92466961215048
0.4121212121212121,0.05023776928867319,6.542601816553456
0.4172727272727273,0.05008317737859436,6.163786626596543
0.4224242424242424,0.04995366402365132,5.788310613532529
0.4275757575757576,0.04984870297556202,5.416260348614188
0.43272727272727274,0.04976774759870177,5.047722403094303
0.4378787878787879,0.04971023087010324,4.682783348225646
0.44303030303030305,0.04967556537945645,4.321529755261006
0.4481818181818182,0.04966314332910877,3.964048195453154
0.45333333333333337,0.04967233653406493,3.6104252400548678
0.4584848484848485,0.049702496421987014,3.2607474603189326
0.4636363636363637,0.04975295403319446,2.9151014274981186
0.4687878787878788,0.049823020020664056,2.5735737128452145
0.47393939393939394,0.04991198465002994,2.236250887612994
0.4790909090909091,0.05001911779958362,1.903219523054232
0.48424242424242425,0.050143668960273946,1.574566190421715
0.48939393939393944,0.05028486723570714,1.2503774609682148
0.49454545454545457,0.050441921342146735,0.9307399059465167
0.4996969696969697,0.05061401960851368,0.6157400966093963
0.5048484848484849,0.050800329976386234,0.30546460420962884
0.51,0.051000000000000004,0.0
